Rank,TeamId,Score
1,14400543,0.94059
2,14400576,0.94056
3,14401681,0.94055
4,14401988,0.94048
5,14401702,0.94037
6,14400566,0.94029
7,14400568,0.94024
8,14401837,0.93984
9,14401973,0.93968
10,14401882,0.93965
11,14401622,0.93961
12,14401981,0.93944
13,14401662,0.9394
14,14400529,0.9394
15,14400570,0.93933
16,14401992,0.93931
17,14401698,0.93903
18,14401722,0.93903
19,14401934,0.93888
20,14401656,0.93873
21,14400593,0.93871
22,14401754,0.93859
23,14401669,0.93849
24,14400499,0.93839
25,14400851,0.93838
26,14400604,0.93821
27,14401684,0.93817
28,14400597,0.93814
29,14406558,0.93779
30,14401637,0.93773
31,14401965,0.93771
32,14400573,0.93554
33,14400550,0.8846